Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
Dad,NFCDCH-02-K8QLAHTRM0M8KKFMU80YGK26J1L5ML,Chrome PC (Cadmium),2023-06-16T02:48:11.692,2024-01-05T12:53:52.593,,,2023-06-16T02:48:11.692,2024-01-05T12:53:52.593,,,1970-01-01T00:00:00.000
Dad,GOOGEAR0010000000000000025783386,Google Chromecast V3 Streaming Stick,,,,,,,,,1970-01-01T00:00:00.000
Dad,NFAPPL-02-IPHONE12=1-181C4588479A3AFA1C9DCA0BDB0299534B85F53A5EBDDBC7215BFB904D5560C6,Apple iPhone 11,2022-04-26T13:34:24.936,2023-12-17T02:03:22.531,,,2022-04-26T13:34:24.936,2023-12-17T02:03:22.531,,,1970-01-01T00:00:00.000
Dad,NFAPPL-02-IPHONE12=1-FDEQU47ZGSD4TJ3N74OZOOHXUC2NXLDKGIRSUOK5YZBW2TRSQXZA,Apple iPhone 11,,,,,,,,,1970-01-01T00:00:00.000
Dad,NFCDFF-02-KMMDUFW1M0LGUL5ELY0LFYANGH29JY,Firefox PC (Cadmium),,,,,,,,,1970-01-01T00:00:00.000
Dad,NFCDCH-02-K9KYW5JG3XLQMMYYAGC964XLE5PG4L,Chrome PC (Cadmium),2023-06-28T11:01:16.215,2023-10-21T10:39:16.264,,,2023-06-28T11:01:16.215,2023-10-21T10:39:16.264,,,1970-01-01T00:00:00.000
Dad,NFCDCH-02-KKWHR2EPYJTNQ5Q0YH41L3XQQ3MG1V,Chrome PC (Cadmium),,,,,,,,,1970-01-01T00:00:00.000
Dad,NFAPPL-03-APPLETV3=2-14DBC2426A006F4333A2527DC9D7D4F722E1FBE1E0CA9DF664B88ED19BA6A4BF,Apple TV 3 (revised),2020-10-13T10:00:44.905,2023-09-24T09:59:39.204,,,2020-10-13T10:00:44.905,2023-09-24T09:59:39.204,,,1970-01-01T00:00:00.000
Dad,NFAPPL-02-IPHONE14=5-4EBBD2D4A147C3BA9874CE2FF765588F7978ED498F08DFA8BE63AC80EC512078,Apple iPhone 13,2022-07-21T12:07:22.624,2023-07-10T14:01:09.128,,,2022-07-21T12:07:22.624,2023-07-10T14:01:09.128,,,1970-01-01T00:00:00.000
Dad,NFCDFF-02-KG0JZ63UQ3X6F2VVEXNPGTXAFD8NDL,Firefox PC (Cadmium),,,,,,,,,1970-01-01T00:00:00.000
Dad,NFAPPL-02-IPHONE10=1-CBA926BEECBBF64672785E18CCB1CE0D8312557C8CC07C28D2115A67CC3BBBE3,Apple iPhone 8 (CDMA),2023-07-31T12:38:14.496,2023-07-31T21:49:52.799,,,2023-07-31T12:38:14.496,2023-07-31T21:49:52.799,,,1970-01-01T00:00:00.000
