Profile Name,Country Iso Code,Device,Is Kids,Query Typed,Displayed Name,Action,Section,Utc Timestamp
Dad,AU,iPhone,0,the salvation,,select,title_results,2023-01-11 05:43:19
Dad,AU,iPhone,0,,Knives Out,play,prequery_results,2022-12-29 10:26:39
Dad,AU,iPhone,0,,Knives Out,select,prequery_results,2022-12-29 10:26:36
Dad,AU,iPhone,0,the playl,,add,title_results,2022-12-22 11:23:06
Dad,AU,iPhone,0,the playl,,select,title_results,2022-12-22 11:23:03
Dad,AU,iPhone,0,interst,Interstellar,add,title_results,2022-12-11 00:23:15
Dad,AU,iPhone,0,guy pearce,,select,title_results,2022-11-12 11:00:05
Dad,AU,iPhone,0,guy pearce,The Rover,select,title_results,2022-11-12 11:00:01
Dad,AU,iPhone,0,guy pearce,The Rover,select,title_results,2022-11-12 09:54:43
Dad,AU,iPhone,0,harlen ,,select,title_results,2022-11-12 09:50:51
Dad,AU,iPhone,0,the watcher,,add,title_results,2022-11-12 09:41:42
Dad,AU,iPhone,0,the watcher,,select,title_results,2022-11-12 09:41:37
Dad,AU,HTML 5,0,he never die,He Never Died,add,title_results,2022-10-18 07:03:06
Dad,AU,HTML 5,0,he never die,He Never Died,add,title_results,2022-10-18 07:03:06
Dad,AU,HTML 5,0,person of interest,Sniper: Assassin's End,add,title_results,2022-10-18 03:03:01
Dad,AU,HTML 5,0,person of interest,Sniper: Assassin's End,add,title_results,2022-10-18 03:03:01
Dad,AU,iPhone,0,all quiet,All Quiet on the Western Front,add,title_results,2022-10-17 01:43:09
Dad,AU,iPhone,0,all quiet,All Quiet on the Western Front,select,title_results,2022-10-17 01:42:58
Dad,AU,iPhone,0,untold,Inside the Mind of a Cat,select,title_results,2022-10-13 10:15:28
Dad,AU,iPhone,0,untold,,select,title_results,2022-10-13 10:15:05
Dad,AU,iPhone,0,untold,Untold: Crime & Penalties,select,title_results,2022-10-13 10:14:40
Dad,AU,iPhone,0,untold,,add,title_results,2022-10-13 10:14:19
Dad,AU,iPhone,0,untold,,select,title_results,2022-10-13 10:13:48
Dad,AU,iPhone,0,untold,,select,title_results,2022-10-13 10:13:07
Dad,AU,iPhone,0,untold,Untold: Breaking Point,select,title_results,2022-10-13 10:12:33
Dad,AU,iPhone,0,untold,Untold: Operation Flagrant Foul,add,title_results,2022-10-13 10:11:46
Dad,AU,iPhone,0,untold,Untold: Operation Flagrant Foul,select,title_results,2022-10-13 10:11:36
Dad,AU,iPhone,0,untold,,add,title_results,2022-10-13 10:11:33
Dad,AU,iPhone,0,untold,,select,title_results,2022-10-13 10:11:24
Dad,AU,iPhone,0,untold,Untold: Deal With the Devil,select,title_results,2022-10-13 10:11:11
Dad,AU,iPhone,0,redeem,Untold: Malice at the Palace,select,title_results,2022-10-13 10:10:36
Dad,AU,iPhone,0,redeem,Untold: The Rise and Fall of AND1,select,title_results,2022-10-13 10:10:06
Dad,AU,iPhone,0,redeem,The Redeem Team,add,title_results,2022-10-13 10:09:58
Dad,AU,iPhone,0,redeem,The Redeem Team,select,title_results,2022-10-13 10:09:48
Dad,AU,HTML 5,0,harlen,,play,title_results,2022-10-07 02:45:37
Dad,AU,HTML 5,0,harlen,,play,title_results,2022-10-07 02:45:37
Dad,AU,HTML 5,0,harlen,,add,suggestion_results,2022-10-07 02:43:56
Dad,AU,HTML 5,0,harlen,,add,suggestion_results,2022-10-07 02:43:55
Dad,AU,HTML 5,0,harlen,,play,suggestion_results,2022-10-07 02:43:37
Dad,AU,HTML 5,0,harlen,,select,suggestion_results,2022-10-07 02:43:25
Dad,AU,HTML 5,0,harlen,,select,suggestion_results,2022-10-07 02:43:25
Dad,AU,HTML 5,0,f1,"Formula 1: Drive to Survive: Season 3: ""Cash Is King""",play,title_results,2022-09-06 09:46:23
Dad,AU,HTML 5,0,f1,"Formula 1: Drive to Survive: Season 3: ""Cash Is King""",play,title_results,2022-09-06 09:46:23
Dad,AU,iPhone,0,,,select,prequery_results,2022-08-26 06:44:15
Dad,AU,iPhone,0,,,select,prequery_results,2022-08-26 06:39:43
Dad,AU,iPhone,0,,,select,prequery_results,2022-08-22 11:07:39
Dad,AU,iPhone,0,drive,,add,title_results,2022-08-09 00:57:09
Dad,AU,iPhone,0,drive,,select,title_results,2022-08-09 00:57:01
Dad,AU,iPhone,0,drive to,,select,title_results,2022-08-09 00:55:49
Dad,AU,iPhone,0,dtr,,select,title_results,2022-07-04 13:22:11
Dad,AU,iPhone,0,formula 1 season 1,,select,title_results,2022-06-01 07:02:10
Dad,AU,iPhone,0,formula ,,select,title_results,2022-06-01 07:01:38
Dad,AU,iPhone,0,pay day,,select,title_results,2022-04-04 08:33:53
Dad,AU,iPhone,0,pay day,,select,title_results,2022-04-04 08:33:28
Dad,AU,iPhone,0,pay day,Miss Bala,select,title_results,2022-04-04 08:33:11
Dad,AU,iPhone,0,,,select,prequery_results,2022-03-23 00:35:01
Dad,AU,iPhone,0,metal lords,Metal Lords,add,title_results,2022-03-14 10:54:43
Dad,AU,iPhone,0,metal lords,Metal Lords,select,title_results,2022-03-14 10:54:39
Dad,AU,HTML 5,0,legion,The Legion,select,suggestion_results,2022-03-11 03:50:18
Dad,AU,HTML 5,0,legion,Legion,play,title_results,2022-03-11 03:50:03
Dad,AU,iPhone,0,the esge of war,Munich – The Edge of War,add,title_results,2022-02-06 22:08:24
Dad,AU,iPhone,0,the esge of war,Munich – The Edge of War,select,title_results,2022-02-06 22:08:19
Dad,AU,iPhone,0,for l,,add,title_results,2021-12-02 19:48:13
Dad,AU,iPhone,0,for l,,select,title_results,2021-12-02 19:48:02
Dad,AU,iPhone,0,the cheat,,add,title_results,2021-11-06 09:04:37
Dad,AU,iPhone,0,the cheat,,select,title_results,2021-11-06 09:04:32
Dad,AU,iPhone,0,battered,The Battered Bastards of Baseball,add,title_results,2021-10-01 15:14:22
Dad,AU,iPhone,0,battered,The Battered Bastards of Baseball,select,title_results,2021-10-01 15:14:00
Dad,AU,iPhone,0,loser,Loser,select,suggestion_results,2021-10-01 15:13:34
Dad,AU,iPhone,0,loser,,select,title_results,2021-10-01 15:12:11
Dad,AU,iPhone,0,sense,,add,title_results,2021-09-23 08:20:25
Dad,AU,iPhone,0,sense,,select,title_results,2021-09-23 08:20:21
Dad,AU,iPhone,0,the good,,add,title_results,2021-09-23 08:14:51
Dad,AU,iPhone,0,the good,,select,title_results,2021-09-23 08:14:46
Dad,AU,iPhone,0,13 reas,,add,title_results,2021-09-23 08:11:42
Dad,AU,iPhone,0,13 reas,,select,title_results,2021-09-23 08:11:39
Dad,AU,iPhone,0,brand new,,add,title_results,2021-09-23 08:05:58
Dad,AU,iPhone,0,brand new,,select,title_results,2021-09-23 08:05:51
Dad,AU,iPhone,0,dallas,,select,title_results,2021-09-19 08:58:00
Dad,AU,iPhone,0,dallas,Dallas Buyers Club,select,title_results,2021-09-19 08:57:52
Dad,AU,HTML 5,0,untold,Untold: Malice at the Palace,add,title_results,2021-08-18 02:16:31
Dad,AU,iPhone,0,,,select,prequery_results,2021-08-06 00:23:31
Dad,AU,iPhone,0,the secret,The Secret,select,title_results,2021-08-06 00:23:09
Dad,AU,iPhone,0,the secret,The Secret,select,title_results,2021-08-06 00:23:04
Dad,AU,iPhone,0,cursed,,select,title_results,2021-07-05 23:10:29
Dad,AU,iPhone,0,cur,,select,title_results,2021-07-05 11:15:50
Dad,AU,iPhone,0,24,SWAT: Unit 887,select,suggestion_results,2021-06-29 10:52:53
Dad,AU,iPhone,0,the invis,The Invisible Guest,play,title_results,2021-06-27 10:14:58
Dad,AU,iPhone,0,the invis,The Invisible Guest,select,title_results,2021-06-27 10:14:56
Dad,AU,iPhone,0,michael jai,Four Brothers,select,title_results,2021-06-13 13:20:33
Dad,AU,iPhone,0,michael jai,Concussion,select,title_results,2021-06-13 13:20:00
Dad,AU,iPhone,0,michael jai,Avengement,select,title_results,2021-06-13 13:19:49
Dad,AU,iPhone,0,michael jai,The Debt Collector 2,select,title_results,2021-06-13 13:18:55
Dad,AU,iPhone,0,michael jai,Warrior,select,title_results,2021-06-13 13:18:52
Dad,AU,iPhone,0,michael jai,Warrior,select,title_results,2021-06-13 13:18:48
Dad,AU,iPhone,0,michael jai,Wild Card,select,title_results,2021-06-13 13:18:38
Dad,AU,iPhone,0,michael jai,John Henry,select,title_results,2021-06-13 13:18:30
Dad,AU,iPhone,0,michael jai,Never Back Down 2: The Beatdown,select,title_results,2021-06-13 13:17:49
Dad,AU,iPhone,0,michael jai,The Hard Way,add,title_results,2021-06-13 13:17:40
Dad,AU,iPhone,0,michael jai,The Hard Way,select,title_results,2021-06-13 13:17:23
Dad,AU,iPhone,0,rhe stranger,,add,title_results,2021-06-12 13:26:12
Dad,AU,iPhone,0,rhe stranger,,select,title_results,2021-06-12 13:26:06
Dad,AU,iPhone,0,believe ,Believe Me: The Abduction of Lisa McVey,add,title_results,2021-06-10 04:58:16
Dad,AU,iPhone,0,believe ,Believe Me: The Abduction of Lisa McVey,select,title_results,2021-06-10 04:58:10
Dad,AU,iPhone,0,line of,,add,,2021-05-19 22:06:25
Dad,AU,iPhone,0,line of,,select,,2021-05-19 22:06:21
Dad,AU,iPhone,0,secret ciry,,add,,2021-05-19 22:06:05
Dad,AU,iPhone,0,secret ciry,,select,,2021-05-19 22:06:01
Dad,AU,iPhone,0,secret ciry,,add,,2021-05-19 22:05:59
Dad,AU,iPhone,0,secret ciry,,select,,2021-05-19 22:05:49
Dad,AU,iPhone,0,americ,American Murder: The Family Next Door,add,,2021-04-01 21:11:05
Dad,AU,iPhone,0,americ,American Murder: The Family Next Door,select,,2021-04-01 21:10:52
Dad,AU,iPhone,0,peak,,select,,2021-03-26 07:36:41
Dad,AU,iPhone,0,peak,,select,,2021-03-26 07:36:13
Dad,AU,iPhone,0,into the blue,MILF,select,,2021-01-22 11:33:13
Dad,AU,iPhone,0,bonfire,,add,,2021-01-05 10:21:36
Dad,AU,iPhone,0,bonfire,,select,,2021-01-05 10:21:30
Dad,AU,iPhone,0,rake,,add,,2021-01-05 10:18:27
Dad,AU,iPhone,0,rake,,select,,2021-01-05 10:18:18
Dad,AU,iPhone,0,,The Irishman,select,,2021-01-01 10:04:17
Dad,AU,iPhone,0,iron fist,,select,,2020-12-18 06:47:09
Dad,AU,iPhone,0,space,,add,,2020-11-26 10:02:28
Dad,AU,iPhone,0,space,,select,,2020-11-26 10:02:26
Dad,AU,iPhone,0,fargo,,add,,2020-11-26 10:02:11
Dad,AU,iPhone,0,fargo,,select,,2020-11-26 10:02:02
Dad,AU,iPhone,0,dark,,add,,2020-10-19 23:55:45
Dad,AU,iPhone,0,dark,,select,,2020-10-19 23:55:39
Dad,AU,HTML 5,0,chicago,,add,,2020-10-16 04:10:39
Dad,AU,iPhone,0,24,,select,,2020-10-04 10:37:19
Dad,AU,iPhone,0,24,SWAT: Unit 887,select,,2020-10-04 10:37:09
Dad,AU,iPhone,0,30 for,Chasing Tyson,select,,2020-09-26 05:51:21
Dad,AU,iPhone,0,30 for,30 for 30: Fantastic Lies,select,,2020-09-26 05:51:08
Dad,AU,iPhone,0,si,,add,,2020-08-11 05:16:00
Dad,AU,iPhone,0,si,,select,,2020-08-11 05:15:47
Dad,AU,iPhone,0,,MILF,select,,2020-08-11 05:14:59
Dad,AU,HTML 5,0,the dark,,add,,2020-07-14 12:06:39
Dad,AU,HTML 5,0,the dark,,select,,2020-07-14 12:06:36
Dad,AU,HTML 5,0,the dark,,play,,2020-07-14 12:06:21
Dad,AU,HTML 5,0,mind hunter,,add,,2020-07-14 12:04:00
Dad,AU,HTML 5,0,mind hunter,,select,,2020-07-14 12:03:47
Dad,AU,iPhone,0,metallica,Reincarnated,select,,2020-07-04 10:32:06
Dad,AU,iPhone,0,metallica,,select,,2020-07-04 10:31:51
Dad,AU,iPhone,0,the fall,,add,,2020-07-04 10:29:44
Dad,AU,iPhone,0,the fall,,select,,2020-07-04 10:29:42
Dad,AU,iPhone,0,,,select,,2020-06-27 09:22:32
Josh,DK,HTML 5,0,john,John Wick,select,suggestion_results,2025-05-14 20:44:34
Josh,DK,HTML 5,0,goodnight mommy,The Blue Lagoon,add,title_results,2025-05-14 20:17:16
Josh,DK,HTML 5,0,bohemian,Queen: Bohemian Champions: Interviews,select,suggestion_results,2025-05-05 19:46:42
Josh,NO,HTML 5,0,american pie,American Pie 2,add,title_results,2025-04-19 08:56:03
Josh,DK,HTML 5,0,the pla,The Platform,play,title_results,2025-04-01 20:24:06
Josh,DK,HTML 5,0,scott,Scott Pilgrim vs. the World,select,suggestion_results,2025-04-01 20:22:45
Josh,DK,HTML 5,0,everything,Everything Everywhere All at Once,select,suggestion_results,2025-04-01 20:22:36
Josh,DK,HTML 5,0,edge of to,Edge of Tomorrow,select,suggestion_results,2025-04-01 20:20:58
Josh,DK,HTML 5,0,500 days,(500) Days of Summer,select,suggestion_results,2025-03-03 20:25:17
Josh,DK,iPhone,0,lucif,,download,title_results,2025-02-07 06:11:49
Josh,DK,iPhone,0,lucif,,download,title_results,2025-02-07 06:11:48
Josh,DK,iPhone,0,lucif,,download,title_results,2025-02-07 06:11:47
Josh,DK,iPhone,0,lucif,,download,title_results,2025-02-07 06:11:47
Josh,DK,iPhone,0,lucif,,download,title_results,2025-02-07 06:11:45
Josh,DK,iPhone,0,lucif,,download,title_results,2025-02-07 06:11:45
Josh,DK,iPhone,0,lucif,,download,title_results,2025-02-07 06:11:40
Josh,DK,iPhone,0,lucif,,download,title_results,2025-02-07 06:11:37
Josh,DK,iPhone,0,lucif,,download,title_results,2025-02-07 06:11:36
Josh,DK,iPhone,0,lucif,,download,title_results,2025-02-07 06:11:36
Josh,DK,iPhone,0,lucif,,download,title_results,2025-02-07 06:11:35
Josh,DK,iPhone,0,lucif,,download,title_results,2025-02-07 06:11:34
Josh,DK,iPhone,0,lucif,Season 6 Plot Clip: Lucifer,supplemental-play,title_results,2025-02-07 06:11:30
Josh,DK,iPhone,0,lucif,,select,title_results,2025-02-07 06:11:29
Josh,DK,HTML 5,0,the interv,The Interview,play,title_results,2025-02-02 20:31:59
Josh,AU,iPhone,0,fight club,The Fast and the Furious: Tokyo Drift,download,title_results,2025-01-21 11:25:02
Josh,AU,iPhone,0,fight club,The Fast and the Furious: Tokyo Drift_hook_primary_16x9,supplemental-play,title_results,2025-01-21 11:25:01
Josh,AU,iPhone,0,fight club,The Fast and the Furious: Tokyo Drift,select,title_results,2025-01-21 11:25:00
Josh,AU,iPhone,0,fight club,The Dark Knight,download,title_results,2025-01-21 11:24:57
Josh,AU,iPhone,0,fight club,The Dark Knight,select,title_results,2025-01-21 11:24:56
Josh,AU,iPhone,0,fight club,Once Upon a Time in Hollywood,select,title_results,2025-01-21 11:24:43
Josh,AU,iPhone,0,fight club,Once Upon a Time in Hollywood,select,title_results,2025-01-21 11:24:33
Josh,AU,iPhone,0,fight club,Once Upon a Time in Hollywood_hook_03_16x9,supplemental-play,title_results,2025-01-21 11:24:33
Josh,AU,iPhone,0,fight club,Mr. & Mrs. Smith,download,title_results,2025-01-21 11:24:29
Josh,AU,iPhone,0,fight club,Mr. & Mrs. Smith,select,title_results,2025-01-21 11:24:27
Josh,AU,iPhone,0,fight club,Pulp Fiction,download,title_results,2025-01-21 11:24:12
Josh,AU,iPhone,0,fight club,Pulp Fiction_hook_primary_16x9_backfill,supplemental-play,title_results,2025-01-21 11:24:07
Josh,AU,iPhone,0,fight club,Pulp Fiction,select,title_results,2025-01-21 11:24:06
Josh,AU,iPhone,0,behind her eyes,Behind Her Eyes: Limited Series - Baseline Clip 2,supplemental-play,title_results,2025-01-21 11:19:05
Josh,AU,iPhone,0,behind her eyes,,select,title_results,2025-01-21 11:19:04
Josh,AU,iPhone,0,adaption,I'm Thinking of Ending Things PVS Clip 2,supplemental-play,title_results,2025-01-21 11:16:37
Josh,AU,iPhone,0,adaption,I'm Thinking of Ending Things,select,title_results,2025-01-21 11:16:36
Josh,AU,PS4,0,jim carey,"Cunk On Earth: Season 1: ""In the Beginnings""",play,title_results,2025-01-11 10:44:18
Josh,AU,PS4,0,jim carey,,play,title_results,2025-01-11 10:44:05
Josh,AU,PS4,0,jim carey,,select,title_results,2025-01-11 10:44:01
Josh,AU,PS4,0,e,Eternal Sunshine of the Spotless Mind,play,title_results,2025-01-11 10:31:50
Josh,AU,PS4,0,e,Eternal Sunshine of the Spotless Mind,select,title_results,2025-01-11 10:31:46
Josh,AU,HTML 5,0,jim carey,Eternal Sunshine of the Spotless Mind,play,title_results,2025-01-11 10:31:01
Josh,AU,HTML 5,0,dear john,Dear John,select,suggestion_results,2025-01-11 10:19:11
Josh,AU,HTML 5,0,b99,"Brooklyn Nine-Nine: Season 5: ""The Box""",play,title_results,2024-12-31 07:29:33
Josh,AU,HTML 5,0,b99,"Brooklyn Nine-Nine: Season 2: ""Halloween II""",play,title_results,2024-12-31 07:05:04
Josh,AU,HTML 5,0,b99,,play,title_results,2024-12-31 07:03:56
Josh,AU,Set Top Box,0,supe,"Superbro: Season 1: ""The Formal""",play,title_results,2024-12-11 13:45:56
Josh,AU,Set Top Box,0,supe,,select,title_results,2024-12-11 13:45:42
Josh,AU,Set Top Box,0,the combi,Paul,play,title_results,2024-12-10 13:09:21
Josh,AU,Set Top Box,0,the combi,Paul,select,title_results,2024-12-10 13:09:15
Josh,AU,HTML 5,0,me before,Me Before You,select,suggestion_results,2024-11-16 09:40:53
Josh,AU,PS4,0,or,,play,title_results,2024-11-08 03:13:42
Josh,AU,PS4,0,or,,play,title_results,2024-11-08 03:13:22
Josh,AU,PS4,0,or,,select,title_results,2024-11-08 03:13:21
Josh,AU,PS4,0,or,,select,title_results,2024-11-08 03:13:17
Josh,AU,PS4,0,fo,Forrest Gump,play,title_results,2024-09-16 13:49:15
Josh,AU,PS4,0,fo,Forrest Gump,select,title_results,2024-09-16 13:49:10
Josh,AU,PS4,0,in,Interstellar,play,title_results,2024-09-02 10:32:49
Josh,AU,PS4,0,in,Interstellar,select,title_results,2024-09-02 10:32:45
