Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
Dad,tvui,progressSpinner,,,2025-06-11 18:49:53
Dad,tvui,mhuManageHousehold,,,2025-06-11 18:49:53
Dad,tvui,profilesGate,,,2025-06-11 18:49:46
Dad,tvui,mhuVerifyTravel,,,2025-06-11 18:49:46
Dad,tvui,clcsInitialInterstitialView,,,2025-06-11 18:49:46
Dad,tvui,profilesGate,,,2025-06-11 18:49:46
Dad,tvui,clcsInitialInterstitialView,,,2025-06-11 18:49:42
Dad,tvui,profilesGate,,,2025-06-11 18:49:42
Dad,tvui,mhuVerifyTravel,,,2025-06-11 18:49:42
Dad,tvui,profilesGate,,,2025-06-11 18:49:42
Dad,tvui,profilesGate,,,2025-06-11 18:49:27
Dad,tvui,profilesGate,,,2025-06-11 18:48:17
Dad,tvui,movieDetails,,,2025-06-11 18:48:14
Dad,tvui,profilesGate,,,2025-06-11 18:48:14
Dad,tvui,playback,,,2025-06-10 20:47:42
Dad,tvui,movieDetails,,,2025-06-10 20:47:42
Dad,tvui,playback,,,2025-06-10 19:36:24
Dad,tvui,movieDetails,,,2025-06-10 19:36:24
Dad,tvui,profilesGate,,,2025-06-10 19:36:21
Dad,tvui,movieDetails,,,2025-06-10 19:36:21
Dad,tvui,screenSaver,,,2025-06-10 19:36:20
Dad,tvui,screenSaver,,,2025-06-10 19:36:20
Dad,tvui,profilesGate,,,2025-06-10 19:36:20
Dad,tvui,movieDetails,,,2025-06-10 18:48:48
Dad,tvui,screenSaver,,,2025-06-10 18:48:48
Dad,tvui,playback,,,2025-06-10 18:43:48
Dad,tvui,movieDetails,,,2025-06-10 18:43:48
Dad,tvui,movieDetails,,,2025-06-10 18:23:55
Dad,tvui,playback,,,2025-06-10 18:23:55
Dad,tvui,browseTitles,,,2025-06-10 18:23:53
Dad,tvui,movieDetails,,,2025-06-10 18:23:53
Dad,tvui,playback,,,2025-06-10 18:23:29
Dad,tvui,browseTitles,,,2025-06-10 18:23:29
Dad,tvui,playback,,,2025-06-10 17:27:46
Dad,tvui,browseTitles,,,2025-06-10 17:27:46
Dad,tvui,browseTitles,,,2025-06-10 17:27:44
Dad,tvui,movieDetails,,,2025-06-10 17:27:44
Dad,tvui,movieDetails,,,2025-06-10 17:27:42
Dad,tvui,browseTitles,,,2025-06-10 17:27:42
Dad,tvui,browseTitles,,,2025-06-10 17:27:39
Dad,tvui,profilesGate,,,2025-06-10 17:27:39
Dad,tvui,browseTitlesGallery,,,2025-06-10 17:26:47
Dad,tvui,profilesGate,,,2025-06-10 17:26:47
Dad,tvui,browseTitlesGallery,,,2025-06-10 17:26:40
Dad,tvui,movieDetails,,,2025-06-10 17:26:40
Dad,tvui,movieDetails,,,2025-06-10 17:26:38
Dad,tvui,playback,,,2025-06-10 17:26:38
Dad,tvui,movieDetails,,,2025-06-10 17:26:25
Dad,tvui,playback,,,2025-06-10 17:26:25
Dad,tvui,browseTitlesGallery,,,2025-06-10 17:26:22
Dad,tvui,movieDetails,,,2025-06-10 17:26:22
Dad,tvui,browseTitlesGallery,,,2025-06-10 17:25:11
Dad,tvui,browseTitlesGallery,,,2025-06-10 17:25:11
Dad,tvui,browseTitles,,,2025-06-10 17:25:10
Dad,tvui,browseTitlesGallery,,,2025-06-10 17:25:10
Dad,tvui,browseTitlesGallery,,,2025-06-10 17:25:09
Dad,tvui,browseTitles,,,2025-06-10 17:25:09
